ID,DATASET,FOLD,PREPROC,ALGORITHM,ORDER,ALPHA,ENCODER,PRE,REC,SPE,F1,GEO,IBA
credit-approval_BaseNEncoder_dtosmote_RF,credit-approval,0,dtosmote,RF,aspect_ratio,0.5,BaseNEncoder,0.8427,0.8406,0.8432,0.8409,0.8418,0.7084
credit-approval_BinaryEncoder_dtosmote_RF,credit-approval,0,dtosmote,RF,aspect_ratio,0.5,BinaryEncoder,0.8113,0.8116,0.8047,0.8113,0.8074,0.6524
credit-approval_CatBoostEncoder_dtosmote_RF,credit-approval,0,dtosmote,RF,aspect_ratio,0.5,CatBoostEncoder,0.8271,0.8261,0.8136,0.8250,0.8175,0.6691
credit-approval_GLMMEncoder_dtosmote_RF,credit-approval,0,dtosmote,RF,aspect_ratio,0.5,GLMMEncoder,0.8549,0.8551,0.8491,0.8548,0.8516,0.7256
credit-approval_HashingEncoder_dtosmote_RF,credit-approval,0,dtosmote,RF,aspect_ratio,0.5,HashingEncoder,0.8186,0.8188,0.8136,0.8187,0.8158,0.6659
credit-approval_HelmertEncoder_dtosmote_RF,credit-approval,0,dtosmote,RF,aspect_ratio,0.5,HelmertEncoder,0.8186,0.8188,0.8136,0.8187,0.8158,0.6659
credit-approval_JamesSteinEncoder_dtosmote_RF,credit-approval,0,dtosmote,RF,aspect_ratio,0.5,JamesSteinEncoder,0.8626,0.8623,0.8609,0.8624,0.8616,0.7425
credit-approval_LeaveOneOutEncoder_dtosmote_RF,credit-approval,0,dtosmote,RF,aspect_ratio,0.5,LeaveOneOutEncoder,0.7602,0.4855,0.5803,0.3537,0.2565,0.0652
credit-approval_MEstimateEncoder_dtosmote_RF,credit-approval,0,dtosmote,RF,aspect_ratio,0.5,MEstimateEncoder,0.8406,0.8406,0.8373,0.8406,0.8388,0.7038
credit-approval_OneHotEncoder_dtosmote_RF,credit-approval,0,dtosmote,RF,aspect_ratio,0.5,OneHotEncoder,0.8186,0.8188,0.8136,0.8187,0.8158,0.6659
